animal	DOB	sex	study	DateStudy	Age	Rearing2	RawScore	AdjScore	SLBinary	Context	Task	TotalExp	Participated	CurExp	Rearing	ID	Age group
CHUHIA 4244	29478	F	1	01/03/2010	29	M	NA	NA	0	Video	Diet	2	0	1	M	CHUHIA 4244	3
COCO 5061	30914	F	1	01/03/2010	25	M	NA	NA	0	Video	Diet	3	0	1	M	COCO 5061	3
CODY 5618	32909	M	1	01/03/2010	20	M	NA	NA	0	Video	Diet	3	0	2	M	CODY 5618	3
CORDOVA 2763	26299	M	1	01/03/2010	38	M	NA	NA	0	Video	Diet	2	0	1	W	CORDOVA 2763	4
CYBILL 6182	35030	F	1	01/03/2010	14	M	NA	NA	0	Video	Diet	0	0	0	M	CYBILL 6182	2
DAHPI 5130	31262	F	1	01/03/2010	24	M	NA	NA	0	Video	Diet	2	0	0	M	DAHPI 5130	3
DODA 4654	30336	F	1	01/03/2010	27	N	1	0	1	Video	Diet	3	1	1	N	DODA 4654	3
DOYLE 4721	30458	M	1	01/03/2010	26	M	NA	NA	0	Video	Diet	5	0	4	M	DOYLE 4721	3
EESHA 5229	31492	F	1	01/03/2010	23	N	NA	NA	0	Video	Diet	0	0	0	N	EESHA 5229	3
EHSTO 6174	34978	M	1	01/03/2010	14	M	NA	NA	0	Video	Diet	4	0	2	M	EHSTO 6174	2
EMILY 5073	31006	F	1	01/03/2010	25	M	NA	NA	0	Video	Diet	6	0	4	M	EMILY 5073	3
ENIGA 10245	31167	F	1	01/03/2010	24	M	NA	NA	0	Video	Diet	2	0	0	M	ENIGA 10245	3
GAGE 7153	36950	M	1	01/03/2010	9	M	NA	NA	0	Video	Diet	6	0	5	M	GAGE 7153	2
GAYGOS 5787	33551	M	1	01/03/2010	18	N	0	-1	0	Video	Diet	5	1	2	N	GAYGOS 5787	3
GERTRUDE 2201	24838	F	1	01/03/2010	42	M	0	-1	0	Video	Diet	6	1	5	W	GERTRUDE 2201	4
GIGI 1732	22647	F	1	01/03/2010	48	M	NA	NA	0	Video	Diet	5	0	4	W	GIGI 1732	4
GIMP 9696	25204	M	1	01/03/2010	41	M	NA	NA	0	Video	Diet	5	0	4	W	GIMP 9696	4
GISOKI 4746	30607	M	1	01/03/2010	26	M	NA	NA	0	Video	Diet	2	0	1	M	GISOKI 4746	3
GLENDA 2108	24473	F	1	01/03/2010	43	M	NA	NA	0	Video	Diet	2	0	2	W	GLENDA 2108	4
